Temps,FrequenceCardiaque
1970-01-01T00:00:15.800Z,129.9145657142857
1970-01-01T00:00:15.900Z,192.76980171428585
1970-01-01T00:00:16.000Z,155.58369642857136
1970-01-01T00:00:16.100Z,144.77197171428568
1970-01-01T00:00:16.200Z,182.85466128571437
1970-01-01T00:00:16.300Z,159.07942957142862
1970-01-01T00:00:16.399Z,157.76337142857147
1970-01-01T00:00:16.500Z,184.91168728571432
1970-01-01T00:00:16.600Z,260.2361321428572
1970-01-01T00:00:16.700Z,164.0519011428572
1970-01-01T00:00:16.800Z,171.2109455714286
1970-01-01T00:00:16.900Z,204.26950671428565
1970-01-01T00:00:17.000Z,148.22696228571425
1970-01-01T00:00:17.100Z,148.04147699999996
1970-01-01T00:00:17.200Z,146.69399699999994
1970-01-01T00:00:17.300Z,147.97322714285713
1970-01-01T00:00:17.400Z,148.1626708571428
1970-01-01T00:00:17.500Z,147.25386928571422
1970-01-01T00:00:17.600Z,147.61003385714284
1970-01-01T00:00:17.700Z,148.3900921428571
1970-01-01T00:00:17.800Z,148.527676
1970-01-01T00:00:17.900Z,151.07131442857144
1970-01-01T00:00:18.000Z,149.5246517142858
1970-01-01T00:00:18.100Z,150.0272828571429
1970-01-01T00:00:18.200Z,225.59580999999994
1970-01-01T00:00:18.300Z,156.71954228571428
1970-01-01T00:00:18.400Z,156.25680585714287
1970-01-01T00:00:18.500Z,132.7595140000001
1970-01-01T00:00:18.600Z,128.7053352857144
1970-01-01T00:00:18.700Z,129.9188918571429
1970-01-01T00:00:18.800Z,129.00536185714284
1970-01-01T00:00:18.900Z,126.25114328571429
1970-01-01T00:00:19.000Z,125.88260328571428
1970-01-01T00:00:19.100Z,125.91626114285714
1970-01-01T00:00:19.200Z,125.96576242857132
1970-01-01T00:00:19.300Z,125.69196485714274
1970-01-01T00:00:19.400Z,134.76040557142844
1970-01-01T00:00:19.500Z,141.83900642857142
1970-01-01T00:00:19.600Z,142.24920000000003
1970-01-01T00:00:19.700Z,140.86733800000016
1970-01-01T00:00:19.800Z,139.46142585714298
1970-01-01T00:00:19.900Z,138.32124400000004
1970-01-01T00:00:20.000Z,138.5311368571429
1970-01-01T00:00:20.100Z,137.92072485714286
1970-01-01T00:00:20.200Z,133.37300214285708
1970-01-01T00:00:20.300Z,127.7389691428572
1970-01-01T00:00:20.400Z,128.94855385714288
1970-01-01T00:00:20.500Z,128.8650838571429
1970-01-01T00:00:20.600Z,127.44798571428575
1970-01-01T00:00:20.700Z,126.22988299999996
1970-01-01T00:00:20.800Z,125.62092857142856
1970-01-01T00:00:20.900Z,126.22364028571421
1970-01-01T00:00:21.000Z,129.29784414285703
1970-01-01T00:00:21.100Z,134.07513071428554
1970-01-01T00:00:21.200Z,134.25268942857124
1970-01-01T00:00:21.300Z,133.69810042857122
1970-01-01T00:00:21.400Z,134.03150842857127
1970-01-01T00:00:21.500Z,133.91924042857138
1970-01-01T00:00:21.600Z,132.77935885714294
1970-01-01T00:00:21.700Z,132.1442444285716
1970-01-01T00:00:21.800Z,133.28146228571444
1970-01-01T00:00:21.900Z,122.55908028571432
1970-01-01T00:00:22.000Z,119.60322142857139
1970-01-01T00:00:22.100Z,118.87818385714283
1970-01-01T00:00:22.200Z,118.48872300000002
1970-01-01T00:00:22.300Z,119.03362442857147
1970-01-01T00:00:22.400Z,118.5168084285716
1970-01-01T00:00:22.500Z,121.73298514285726
1970-01-01T00:00:22.600Z,119.26878571428577
1970-01-01T00:00:22.700Z,123.99947528571424
1970-01-01T00:00:22.800Z,128.60906999999992
1970-01-01T00:00:22.900Z,130.6780539999999
1970-01-01T00:00:23.000Z,131.87079999999986
1970-01-01T00:00:23.100Z,131.86072957142844
1970-01-01T00:00:23.200Z,131.2085318571428
1970-01-01T00:00:23.300Z,131.1723514285714
1970-01-01T00:00:23.400Z,130.66760757142856
1970-01-01T00:00:23.500Z,129.05593971428578
1970-01-01T00:00:23.600Z,128.98244228571434
1970-01-01T00:00:23.700Z,128.9357968571429
1970-01-01T00:00:23.800Z,129.74720171428578
1970-01-01T00:00:23.900Z,132.18015242857143
1970-01-01T00:00:24.000Z,131.82512428571434
1970-01-01T00:00:24.100Z,140.90429999999998
1970-01-01T00:00:24.200Z,152.78854414285715
1970-01-01T00:00:24.300Z,152.45495714285713
1970-01-01T00:00:24.400Z,151.91535171428563
1970-01-01T00:00:24.500Z,145.81130971428564
1970-01-01T00:00:24.600Z,142.12825757142855
1970-01-01T00:00:24.700Z,142.45900542857143
1970-01-01T00:00:24.800Z,144.40400742857142
1970-01-01T00:00:24.900Z,144.65170885714284
1970-01-01T00:00:25.000Z,145.5891081428572
1970-01-01T00:00:25.100Z,143.49300714285715
1970-01-01T00:00:25.200Z,142.4083285714286
1970-01-01T00:00:25.300Z,141.4491288571428
1970-01-01T00:00:25.400Z,127.60394671428566
1970-01-01T00:00:25.500Z,128.50692728571428
1970-01-01T00:00:25.600Z,128.20882857142857
1970-01-01T00:00:25.700Z,129.1345531428572
1970-01-01T00:00:25.800Z,130.03154000000004
1970-01-01T00:00:25.900Z,123.33055714285716
1970-01-01T00:00:26.000Z,123.37054271428573
1970-01-01T00:00:26.100Z,122.70018200000005
1970-01-01T00:00:26.200Z,120.95722857142857
1970-01-01T00:00:26.300Z,121.64756628571432
1970-01-01T00:00:26.400Z,121.52404942857146
1970-01-01T00:00:26.500Z,119.5058022857144
1970-01-01T00:00:26.600Z,126.02846214285725
1970-01-01T00:00:26.700Z,138.103838
1970-01-01T00:00:26.800Z,145.19256099999998
1970-01-01T00:00:26.900Z,148.3893942857142
1970-01-01T00:00:27.000Z,148.73088571428562
1970-01-01T00:00:27.100Z,148.7500801428571
1970-01-01T00:00:27.200Z,148.12644842857145
1970-01-01T00:00:27.300Z,138.6960535714287
1970-01-01T00:00:27.400Z,139.1082492857144
1970-01-01T00:00:27.500Z,138.75836742857157
1970-01-01T00:00:27.600Z,138.43149700000004
1970-01-01T00:00:27.700Z,138.58408571428578
1970-01-01T00:00:27.800Z,138.56192900000002
1970-01-01T00:00:27.900Z,139.32931000000008
1970-01-01T00:00:28.000Z,139.49650714285718
1970-01-01T00:00:28.100Z,139.97107142857146
1970-01-01T00:00:28.200Z,144.18474857142857
1970-01-01T00:00:28.300Z,147.69480000000001
1970-01-01T00:00:28.400Z,147.21676328571434
1970-01-01T00:00:28.500Z,146.5615272857144
1970-01-01T00:00:28.600Z,145.58450442857153
1970-01-01T00:00:28.700Z,144.37530785714296
1970-01-01T00:00:28.800Z,144.10440742857156
1970-01-01T00:00:28.900Z,143.28037914285719
1970-01-01T00:00:29.000Z,144.00450957142849
1970-01-01T00:00:29.100Z,144.16317142857136
1970-01-01T00:00:29.200Z,144.87017614285702
1970-01-01T00:00:29.300Z,145.10665142857133
1970-01-01T00:00:29.400Z,145.04717142857132
